LocusID,Gene Name,Gene Synonyns,Product Name,Product Synonyms,Human_Sputum_B,Human_Sputum_A,Human_Sputum_C,Human_Sputum_D,Human_Sputum_E,Human_Sputum_F,Human_Sputum_G,HumanSputum_EM55B,HumanSputum_EM59,HumanSputum_EM60B,HumanSputum_EM13,HumanSputum_EM24,HumanSputum_EM30,HumanSputum_EM33,HumanSputum_EM35B,HumanSputum_EM36,HumanSputum_EM37B,HumanSputum_EM43,HumanSputum_EM48B,HumanSputum_EM49 ,HumanSputum_EM53B,HumanSputum_EM6,HumanSputum_EM61,HumanSputum_EM70
PA1073,braD,--,branched-chain amino acid transport protein BraD,--,74,18,40,2,6,4,175,78,7,2,7,2,6,24,17,4,21,9,6,17,49,21,6,42
PA1074,braC,--,branched-chain amino acid transport protein BraC,--,269,94,285,113,138,54,1578,472,84,21,78,81,42,105,152,22,61,82,33,56,168,99,61,881
PA1075,--,--,hypothetical protein,--,252,32,158,28,45,4,704,65,31,9,33,22,7,47,100,18,27,23,15,4,29,55,7,181
PA1076,--,--,hypothetical protein,--,186,64,130,44,43,19,1941,76,61,7,36,26,14,50,112,14,35,38,8,19,74,186,21,222
PA1077,flgB,--,flagellar basal-body rod protein FlgB,--,0,0,0,5,0,0,258,1,0,0,13,0,0,0,74,19,42,26,1,0,42,88,16,241
PA1078,flgC,--,flagellar basal-body rod protein FlgC,--,0,1,3,4,1,0,841,5,5,2,33,9,2,6,98,8,20,44,0,0,64,40,6,310
PA1079,flgD,--,flagellar basal-body rod modification protein FlgD,flagellar hook cap (scaffold),18,7,6,5,4,2,2557,22,14,9,80,4,16,11,341,35,94,105,5,4,323,136,43,779
PA1080,flgE,--,flagellar hook protein FlgE,--,168,28,65,15,3,8,16603,24,55,84,136,1,5,16,1346,275,571,299,1,1,317,2264,59,1828
PA1081,flgF,--,flagellar basal-body rod protein FlgF,--,25,5,10,3,13,3,3473,14,2,6,228,0,0,0,234,30,40,242,0,0,161,271,31,961
PA1082,flgG,--,flagellar basal-body rod protein FlgG,--,15,8,16,10,13,2,2879,17,39,27,156,12,0,15,485,29,101,250,4,3,408,175,70,945
PA1083,flgH,--,flagellar L-ring protein precursor FlgH,--,18,7,8,25,9,0,4081,3,12,23,48,9,2,29,329,68,220,167,1,1,159,286,26,435
PA1084,flgI,--,flagellar P-ring protein precursor FlgI,--,21,6,76,1,6,0,27974,17,25,40,65,0,5,15,592,268,590,295,1,6,98,7812,38,1445
PA1085,flgJ,--,flagellar protein FlgJ,--,2,1,7,2,2,0,328,16,16,5,42,5,0,9,75,6,7,162,1,0,79,119,14,205
PA1086,flgK,--,flagellar hook-associated protein 1 FlgK,--,3,1,16,12,16,3,595,6,8,6,18,8,21,1,58,25,6,333,1,5,57,245,11,124
PA1087,flgL,flaK,flagellar hook-associated protein type 3 FlgL,--,74,29,34,14,60,3,2336,3,0,15,1,0,52,0,2,42,1,468,0,0,6,431,8,1
PA1088,--,--,hypothetical protein,--,23,15,30,19,23,13,629,2,0,3,1,0,12,0,0,14,0,293,0,0,0,25,2,0
PA1089,--,--,conserved hypothetical protein,--,8,7,39,18,15,5,841,1,0,2,1,0,19,0,0,1,0,387,0,0,0,64,3,0
PA1090,--,--,hypothetical protein,--,27,4,31,14,6,3,496,0,0,2,0,0,2,0,0,4,0,137,0,0,0,71,1,0
PA1091,fgtA,--,flagellar glycosyl transferase FgtA,"flagellar glycosyl transferase, FgtA",44,23,61,29,18,9,1010,1,0,20,6,0,25,4,0,23,0,1289,0,0,0,191,3,0
PA1092,fliC,--,flagellin type B,flagellar filament protein,30,57,70,32,46,10,1959,21,1,24,26,6,27,0,8,33,3,316,0,2,1,340,31,3
PA1093,--,flaG,hypothetical protein,--,4,3,3,0,6,0,137,1,0,1,1,0,9,0,0,0,0,45,0,0,0,15,2,0
PA1094,fliD,--,flagellar capping protein FliD,hook-associated protein,71,46,85,34,26,6,1590,9,9,18,14,0,26,0,1,62,0,246,0,0,1,259,10,2
PA1095,--,fliS,hypothetical protein,--,25,22,35,19,29,7,521,1,2,24,5,0,21,0,0,45,0,137,0,0,0,404,2,0
PA1096,--,--,hypothetical protein,--,18,16,7,11,5,4,274,6,0,6,1,0,1,0,1,7,0,30,0,0,0,15,0,2
PA1097,fleQ,--,transcriptional regulator FleQ,--,410,160,420,390,349,138,1587,1208,168,31,301,17,307,323,285,36,93,177,135,80,467,149,60,989
PA1098,fleS,--,two-component sensor,--,12,1,22,4,0,0,84,38,9,11,22,0,9,16,54,4,11,152,2,14,43,87,5,60
PA1099,fleR,--,two-component response regulator,--,4,2,3,6,6,7,124,56,12,5,20,0,6,25,61,14,12,170,1,12,46,49,4,119
PA1100,fliE,--,flagellar hook-basal body complex protein FliE,--,0,1,3,0,0,0,318,0,5,2,24,0,0,0,55,10,10,39,1,1,15,6,4,80
PA1101,fliF,--,Flagella M-ring outer membrane protein precursor,--,47,10,53,31,12,1,436,47,24,15,75,13,22,38,133,20,43,274,8,4,149,137,31,324
PA1102,fliG,--,flagellar motor switch protein FliG,--,157,34,199,66,45,13,622,110,34,6,44,24,30,44,118,11,19,186,14,19,95,84,25,324
PA1103,--,fliH,probable flagellar assembly protein,--,144,48,136,55,42,17,320,162,31,3,70,10,31,45,111,21,4,237,39,19,69,8,38,224
PA1104,fliI,--,flagellum-specific ATP synthase FliI,--,98,31,73,10,13,11,170,142,61,10,30,10,36,23,75,23,7,250,26,20,90,57,26,129
PA1105,fliJ,--,flagellar protein FliJ,--,26,1,25,0,2,0,53,19,9,3,13,19,3,7,27,10,2,10,1,2,21,23,2,16
PA1106,--,--,hypothetical protein,--,3522,321,2177,184,149,31,28942,129,161,171,65,54,64,251,763,201,129,79,22,56,73,369,50,678
PA1107,roeA,--,RoeA,RoeA,25,12,30,1,5,2,66,151,9,3,10,18,24,6,39,6,5,6,4,14,23,19,3,24
PA1108,--,--,probable major facilitator superfamily (MFS) transporter,probable MFS transporter,0,1,0,0,0,1,13,17,13,0,5,0,3,5,12,1,5,1,1,4,0,10,0,1
PA1109,--,--,probable transcriptional regulator,--,4,12,18,4,1,4,47,30,10,1,14,0,2,26,26,7,29,10,8,1,17,5,0,18
PA1110,--,--,hypothetical protein,--,28,19,28,6,34,8,80,50,36,6,12,0,26,9,38,5,21,23,11,19,38,22,10,54
PA1111,--,--,hypothetical protein,--,24,15,67,9,5,3,98,65,33,0,7,18,5,27,24,0,11,18,3,7,10,0,6,33
PA1112,--,yliI,conserved hypothetical protein,--,172,62,189,40,33,26,335,202,34,30,34,15,24,129,129,12,41,38,12,66,100,74,26,159
PA1113,--,--,probable ATP-binding/permease fusion ABC transporter,--,35,17,14,8,9,3,46,138,9,2,21,61,20,61,31,4,24,18,12,24,59,25,13,48
PA1114,--,--,hypothetical protein,--,439,960,439,46,244,36,980,245,229,21,143,140,119,131,95,1,57,162,19,33,170,68,196,571
PA1115,--,--,hypothetical protein,--,992,464,1003,215,857,87,1869,686,445,68,281,210,224,487,237,101,339,177,40,95,257,175,251,1124
PA1116,--,--,hypothetical protein,--,75,36,39,6,43,7,344,64,60,12,81,0,4,33,51,28,46,36,11,13,27,42,12,76
PA1117,--,--,hypothetical protein,--,65,39,68,24,15,2,437,16,20,1,11,0,0,11,39,25,16,2,2,6,18,53,3,23
PA1118,--,--,hypothetical protein,--,235,190,215,87,109,22,681,222,129,13,45,28,47,107,118,48,79,58,17,30,106,48,37,128
PA1119,yfiB,--,YfiB,YfiB,12,4,16,6,7,1,65,27,10,0,42,0,10,18,16,7,0,10,4,10,16,4,4,68
PA1120,tpbB,yfiN,diguanylate cyclase TpbB,YfiN ; diguanylate cyclase TpbB,33,18,66,8,18,11,100,47,41,13,40,9,9,58,13,9,16,31,13,12,23,18,7,149
PA1121,yfiR,--,YfiR,YfiR,35,37,40,13,4,23,93,48,24,3,15,0,4,7,33,5,23,9,7,10,33,51,15,70
PA1122,--,fms ; pdf ; def,putative peptide deformylase,--,141,46,58,10,42,13,266,106,20,2,26,31,12,28,41,6,26,8,12,22,37,11,20,121
PA1123,--,--,hypothetical protein,--,85,35,81,3,48,1,73,35,20,5,37,7,18,14,42,5,39,6,6,14,30,36,6,79
PA1124,dgt,--,deoxyguanosinetriphosphate triphosphohydrolase,dGTP triphosphohydrolase ; dGTPase,76,36,109,37,42,17,170,99,27,2,15,30,32,25,55,3,15,30,12,16,48,14,17,168
PA1125,--,cobB,probable cobalamin biosynthetic protein,--,58,39,71,48,26,22,2155,86,10,12,17,0,16,44,82,22,54,33,21,5,29,92,20,49
PA1126,--,--,hypothetical protein,--,127,41,79,12,28,12,379,53,33,11,83,10,2,28,17,10,19,19,10,6,27,44,3,217
PA1127,--,gsp69,probable oxidoreductase,--,30,26,65,21,13,9,551,68,34,4,31,0,4,55,56,9,16,34,6,9,47,158,7,220
PA1128,--,--,probable transcriptional regulator,--,42,41,53,18,16,12,203,248,25,6,26,13,23,36,65,16,60,36,8,13,73,39,7,81
PA1129,fosA,--,fosfomycin resistance protein FosA,"fosfomycin resistance protein, FosA ; probable fosfomycin resistance protein",22,11,22,3,1,3,65,12,39,1,2,0,3,135,48,0,0,3,4,1,7,0,8,13
PA1130,rhlC,--,rhamnosyltransferase 2,rhamnosyltransferase 2,15,10,45,17,8,2,1200,3,8,3,0,0,3,1,13,1,0,15,2,5,40,9,2,21
PA1131,--,--,probable major facilitator superfamily (MFS) transporter,probable MFS transporter,13,8,26,5,10,0,1156,12,26,8,3,0,18,12,22,9,11,76,7,9,55,3,3,11
PA1132,--,--,hypothetical protein,--,5,4,2,0,3,0,23,81,0,0,0,0,3,2,9,2,5,2,1,2,16,4,0,4
PA1133,--,--,hypothetical protein,--,1,0,4,0,2,1,3,10,4,0,1,0,0,0,10,0,0,4,0,4,0,0,0,3
PA1134,--,--,hypothetical protein,--,16,4,40,19,7,3,115,74,26,4,34,25,25,26,47,4,14,49,4,9,44,32,6,89
PA1135,--,yedU,conserved hypothetical protein,--,18,10,23,4,14,4,100,21,3,5,9,0,10,0,17,0,13,3,3,17,26,1,2,47
PA1136,--,--,probable transcriptional regulator,--,27,13,25,19,0,1,150,30,15,4,27,2,11,30,17,10,21,26,8,9,38,14,5,15
PA1137,--,--,probable oxidoreductase,--,7,3,18,0,13,4,15,41,22,0,4,0,9,0,13,6,4,12,1,3,10,0,1,13
PA1138,--,--,probable transcriptional regulator,--,10,7,10,17,2,4,52,85,18,3,4,0,28,23,27,6,4,15,10,4,15,0,19,36
PA1139,--,--,hypothetical protein,--,66,17,67,15,27,10,88,69,46,2,38,23,18,43,34,3,2,25,9,4,26,0,14,83
PA1140,--,ylbA,conserved hypothetical protein,--,41,2,56,17,27,7,83,38,12,0,14,23,13,8,25,5,12,10,13,4,25,46,7,92
PA1141,--,--,probable transcriptional regulator,--,26,12,27,15,10,10,72,88,19,5,21,14,24,17,26,4,28,13,5,20,25,0,8,23
PA1142,--,--,probable transcriptional regulator,--,21,9,12,0,18,3,62,108,51,5,51,27,12,27,37,12,42,11,15,17,58,78,29,38
PA1143,--,--,hypothetical protein,--,0,1,5,7,0,0,2,3,6,0,0,0,4,5,1,0,1,0,0,5,0,0,4,3
PA1144,--,--,probable major facilitator superfamily (MFS) transporter,probable MFS transporter,3,4,3,0,2,1,13,16,9,0,0,0,5,17,10,6,0,11,3,11,1,7,6,2
PA1145,--,--,probable transcriptional regulator,--,31,9,25,16,17,4,85,37,13,1,7,10,3,26,18,2,8,9,4,0,2,3,10,55
PA1146,--,--,probable iron-containing alcohol dehydrogenase,--,4,2,2,1,0,1,8,11,0,0,7,0,7,0,9,0,0,2,1,10,11,0,0,0
PA1147,--,--,probable amino acid permease,--,15,9,22,5,10,8,10,54,0,0,0,0,0,0,2,1,0,8,1,43,16,0,2,1
PA1148,toxA,eta,exotoxin A precursor,--,3,2,4,0,1,1,5,1,0,0,14,10,2,0,3,3,2,44,0,11,0,0,5,5
PA1149,--,--,hypothetical protein,--,13,0,3,0,2,0,139,2,2,3,0,0,0,0,13,3,3,4,0,3,0,0,0,6
PA1150,pys2,--,pyocin S2,--,0,0,0,0,0,0,207,0,51,19,323,0,12,149,12,0,0,43,10,125,19,64,56,417
PA1151,imm2,--,pyocin S2 immunity protein,--,0,0,0,0,0,0,0,0,0,3,16,0,0,10,0,0,0,8,0,15,0,6,5,56
PA1152,--,--,hypothetical protein,--,11,0,14,0,5,0,0,0,10,1,13,0,0,0,0,0,0,12,0,25,0,0,3,55
PA1153,--,--,hypothetical protein,--,2,3,1,0,0,0,4,59,0,2,0,0,3,0,7,4,14,7,0,21,9,17,0,2
PA1154,--,--,conserved hypothetical protein,--,0,0,0,0,0,0,0,13,6,0,0,14,0,10,1,0,3,0,2,3,0,0,9,0
PA1155,nrdB,--,NrdB tyrosyl radical-harboring component of class Ia ribonucleotide reductase,"NrdB, tyrosyl radical-harboring component of class Ia ribonucleotide reductase",446,96,905,263,678,123,2020,345,196,49,387,34,68,185,155,25,34,161,63,76,189,125,55,1331
PA1156,nrdA,--,NrdA catalytic component of class Ia ribonucleotide reductase,"NrdA, catalytic component of class Ia ribonucleotide reductase ",790,179,1189,537,936,135,3726,685,506,66,558,103,220,354,471,82,135,558,127,220,391,417,108,1535
PA1157,--,--,probable two-component response regulator,--,2587,641,1797,157,51,15,16399,155,92,194,18,14,38,155,334,127,184,62,7,18,31,562,28,853
PA1158,--,--,probable two-component sensor,--,249,51,135,55,14,11,1857,104,33,3,20,39,56,21,141,22,52,32,5,14,31,90,4,177
PA1159,--,--,probable cold-shock protein,--,348,61,456,91,51,43,1187,163,134,15,146,22,91,171,121,25,36,82,46,43,111,28,30,437
PA1160,--,--,hypothetical protein,--,117,68,157,51,46,30,330,115,72,8,57,8,25,72,84,26,45,48,31,25,81,52,22,107
PA1161,rrmA,--,rRNA methyltransferase,--,121,45,148,60,44,24,254,126,46,7,92,31,23,84,66,14,10,120,30,21,94,32,30,103
PA1162,dapE,--,succinyl-diaminopimelate desuccinylase,N-succinyl-diaminopimelate deacylase,143,49,133,27,102,19,243,278,140,30,121,45,87,110,142,52,37,220,63,54,220,132,27,214
PA1163,ndvB,--,NdvB,NdvB,70,44,35,5,35,18,195,102,50,15,16,56,14,67,77,26,29,33,12,28,33,72,8,80
PA1164,--,--,conserved hypothetical protein,--,131,32,60,18,28,7,361,93,19,3,27,11,11,14,56,11,28,20,11,8,27,52,13,76
PA1165,pcpS,--,PcpS,Pseudomonas aeruginosa carrier protein synthase,45,31,39,7,51,10,85,129,20,15,27,21,37,9,35,31,28,27,12,22,66,75,30,44
PA1166,--,--,hypothetical protein,--,4,14,27,0,2,5,98,16,3,2,2,0,0,1,14,6,4,7,2,1,2,9,3,13
PA1167,--,--,hypothetical protein,--,39,9,28,7,18,17,75,41,17,0,28,0,0,17,20,6,29,7,5,7,32,0,1,40
PA1168,--,--,hypothetical protein,--,3,0,10,0,0,1,9,7,0,0,3,0,0,0,1,0,0,1,0,0,0,0,1,0
PA1169,--,--,probable lipoxygenase,--,22,9,6,1,5,3,48,44,13,3,1,10,3,10,14,3,4,8,5,23,18,9,10,10
PA1170,--,--,conserved hypothetical protein,--,102,48,109,29,35,12,656,207,175,14,90,19,37,95,52,28,8,62,51,16,59,103,31,112
PA1171,sltB2,soluble lytic transglycosylase,SltB2,SltB2 ; probable transglycolase,13,9,14,31,7,2,51,77,9,0,21,0,14,10,22,8,10,27,16,13,26,3,6,26
PA1172,napC,--,cytochrome c-type protein NapC,--,3,3,4,0,0,0,38,6,1,4,2,0,0,8,1,0,0,0,2,3,5,0,0,11
PA1173,napB,--,cytochrome c-type protein NapB precursor,--,16,0,2,0,0,0,41,8,4,0,0,0,0,0,3,0,0,0,0,7,1,0,5,5
PA1174,napA,--,periplasmic nitrate reductase protein NapA,--,16,14,29,10,15,17,138,136,40,6,9,17,7,36,33,3,38,2,10,28,44,1,10,57
PA1175,napD,--,NapD protein of periplasmic nitrate reductase,--,0,3,6,1,1,0,48,57,12,2,4,0,2,24,16,5,15,2,2,16,22,1,0,10
PA1176,napF,--,ferredoxin protein NapF,--,8,8,9,15,4,7,50,98,5,0,7,17,4,15,11,0,27,5,6,3,33,0,0,10
PA1177,napE,--,periplasmic nitrate reductase protein NapE,--,282,208,144,70,69,55,972,321,85,23,63,0,20,62,108,11,40,27,23,22,163,3,21,408
PA1178,oprH,--,PhoP/Q and low Mg2+ inducible outer membrane protein H1 precursor,--,754,1187,1095,389,144,176,3405,610,137,120,184,87,108,239,393,136,59,94,56,191,289,472,192,429
PA1179,phoP,--,two-component response regulator PhoP,--,230,330,291,67,18,37,2394,353,48,55,39,75,59,65,169,54,67,40,16,72,128,72,42,136
PA1180,phoQ,--,two-component sensor PhoQ,--,77,396,208,64,25,54,1023,464,21,15,66,13,90,49,124,69,38,61,26,60,130,86,73,162
PA1181,--,yegE,conserved hypothetical protein,--,168,181,201,46,71,45,630,643,93,41,217,6,38,82,103,13,24,108,58,40,218,65,42,463
PA1182,--,--,probable transcriptional regulator,--,25,7,18,10,6,4,53,46,11,0,12,15,5,3,26,7,4,0,2,12,13,5,3,24
PA1183,dctA,--,C4-dicarboxylate transport protein,--,17026,66,27601,139,16,29,10551,133,241,149,233,36,21,262,381,150,126,111,38,38,124,346,89,2237
PA1184,--,--,probable transcriptional regulator,--,50,19,24,15,11,6,186,72,11,9,14,16,8,24,29,4,23,1,3,13,14,38,5,96
PA1185,--,yfcG,probable glutathione S-transferase,--,3,4,6,0,0,0,18,15,1,1,2,0,0,0,4,3,0,6,0,5,3,0,3,5
PA1186,--,--,hypothetical protein,--,4,2,10,5,1,3,90,31,7,0,0,12,9,22,3,2,0,9,0,4,10,0,0,4
PA1187,--,lcaD,probable acyl-CoA dehydrogenase,--,23,16,14,24,6,2,82,22,8,0,3,0,0,15,8,2,3,3,0,3,7,25,2,19
PA1188,--,--,hypothetical protein,--,12,8,22,5,10,1,53,29,6,2,16,0,6,10,15,1,6,14,3,9,6,0,5,13
PA1189,--,--,conserved hypothetical protein,--,9,4,8,0,4,4,46,25,11,0,15,16,3,13,8,2,2,25,1,16,11,15,11,27
PA1190,--,yohC,conserved hypothetical protein,--,77,80,156,34,17,20,1182,256,23,46,21,0,10,9,75,17,32,14,8,22,31,16,15,85
PA1191,--,--,hypothetical protein,--,0,2,13,0,7,0,51,23,6,5,0,0,2,4,7,5,8,10,7,4,11,11,0,24
PA1192,--,ydaO,conserved hypothetical protein,--,321,87,247,31,154,26,1602,258,162,17,132,35,59,73,94,44,59,135,17,41,100,180,18,332
PA1193,--,--,hypothetical protein,--,469,55,385,30,67,9,4623,219,119,35,160,54,93,180,87,27,78,90,18,24,126,439,17,616
PA1194,--,--,probable amino acid permease,--,18,15,12,14,4,5,64,174,38,1,17,11,15,162,25,13,8,33,5,40,21,14,14,5
PA1195,ddaH,--,dimethylarginine dimethylaminohydrolase DdaH,dimethylarginine dimethylaminohydrolase DdaH ; hypothetical protein,7,4,12,0,1,3,70,75,13,1,7,0,10,51,32,7,5,14,1,9,7,12,0,3
PA1196,ddaR,--,transcriptional regulator DdaR,transcriptional regulator DdaR ; probable transcriptional regulator,85,77,85,11,61,19,1076,376,117,10,42,93,47,321,124,27,41,32,11,26,34,140,4,373
PA1197,--,--,hypothetical protein,--,52,44,23,2,29,14,575,468,130,13,113,14,44,77,106,26,115,26,25,57,103,93,17,351
PA1198,--,--,conserved hypothetical protein,--,699,145,577,284,337,152,2238,766,140,40,215,93,101,217,258,46,158,100,68,65,289,142,112,1199
PA1199,--,--,probable lipoprotein,--,48,18,47,45,18,14,213,200,17,2,26,20,36,79,47,9,40,31,26,27,78,28,19,64
PA1200,--,--,conserved hypothetical protein,--,11,3,8,15,14,11,56,295,9,8,28,51,28,41,33,14,15,41,25,35,55,14,10,47
PA1201,--,--,probable transcriptional regulator,--,5,31,34,14,36,11,63,87,36,2,25,61,32,50,39,11,3,24,9,14,50,0,9,41
PA1202,--,ycaC,probable hydrolase,--,21,41,45,32,7,7,168,22,51,17,2,25,0,25,23,4,16,3,73,7,668,15,19,29
PA1203,--,--,hypothetical protein,--,7,1,23,0,4,3,14,16,10,5,9,0,4,0,12,3,0,3,7,2,40,3,14,16
PA1204,--,yieF,NAD(P)H quinone oxidoreductase,oxidoreductase ; NAD(P)H quinone oxidoreductase,40,16,57,30,33,4,352,36,15,5,13,13,17,17,46,11,11,17,30,14,92,55,18,78
PA1205,--,--,conserved hypothetical protein,--,69,26,52,38,44,5,159,68,17,8,55,22,22,13,35,5,13,22,29,15,91,25,8,60
PA1206,--,--,hypothetical protein,--,230,46,141,21,35,10,798,179,99,10,45,61,13,64,82,11,27,44,40,41,122,17,24,216
PA1207,kefB,trkB ; kefC,glutathione-regulated potassium-efflux system protein KefB,--,1130,93,419,30,91,14,3462,255,201,63,128,11,22,220,100,17,56,122,36,34,153,230,14,392
PA1208,--,--,conserved hypothetical protein,--,67,34,133,9,25,8,2613,89,36,14,14,10,27,40,45,19,23,30,8,13,60,110,6,59
PA1209,--,--,hypothetical protein,--,139,66,33,31,67,9,284,125,97,8,50,73,36,15,51,6,35,13,29,13,230,33,72,198
PA1210,--,yhhW,conserved hypothetical protein,--,99,87,92,102,4,14,295,39,132,51,0,114,39,21,34,14,32,10,2,27,1518,6,80,68
PA1211,--,--,hypothetical protein,--,0,0,3,0,0,3,4,8,4,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
PA1212,--,--,probable major facilitator superfamily (MFS) transporter,probable MFS transporter,0,2,1,0,10,2,13,10,3,0,0,0,2,7,3,4,1,0,6,14,5,0,0,3
PA1213,--,--,hypothetical protein,--,8,1,0,0,0,0,8,0,0,1,0,0,0,0,1,0,0,4,0,8,0,0,0,0
PA1214,--,--,hypothetical protein,--,0,1,0,0,1,1,79,4,10,0,0,0,0,19,5,3,0,0,0,2,0,7,0,3
PA1215,--,--,hypothetical protein,--,0,5,0,0,0,0,7,17,2,1,0,0,0,25,2,3,0,1,0,2,4,0,1,2
PA1216,--,--,hypothetical protein,--,1,0,4,0,0,2,17,1,0,1,0,0,0,6,0,0,0,0,1,3,0,0,1,2
PA1217,--,--,probable 2-isopropylmalate synthase,--,3,1,2,2,3,0,18,7,2,0,1,19,0,0,6,1,0,2,0,2,4,18,1,3
PA1218,--,--,hypothetical protein,--,12,6,3,0,5,0,216,10,2,0,0,18,0,0,8,3,3,0,0,4,0,0,0,3
PA1219,--,--,hypothetical protein,--,0,0,0,5,0,0,22,6,0,1,0,0,2,6,4,0,0,3,0,1,1,0,0,2
PA1220,--,--,hypothetical protein,--,0,0,0,0,0,0,5,5,1,2,0,0,0,0,2,2,0,3,0,3,1,18,0,0
PA1221,--,--,hypothetical protein,--,0,6,1,0,1,0,47,19,8,1,4,10,14,13,11,6,11,2,1,17,19,0,0,6
PA1222,--,mltA,probable membrane-bound lytic murein transglycolase A,--,34,45,19,18,35,6,159,172,45,8,23,41,21,98,50,38,42,81,11,51,76,30,15,52
PA1223,--,--,probable transcriptional regulator,--,113,63,112,23,72,16,137,340,27,10,30,67,155,103,77,126,42,29,5,5,140,48,21,208
PA1224,--,--,probable NAD(P)H dehydrogenase,--,8,5,8,18,8,2,23,30,7,2,29,4,16,12,22,39,20,4,1,9,27,6,2,36
PA1225,--,--,FAD-dependent NADPH:quinone reductase,FAD-dependent NADPH:quinone reductase ; probable NAD(P)H dehydrogenase,40,16,18,9,6,5,39,17,7,1,12,14,40,33,24,149,9,15,3,3,28,5,1,17
PA1226,--,--,probable transcriptional regulator,--,25,9,42,28,6,5,41,46,11,4,1,35,2,10,28,2,15,7,3,15,17,6,1,8
PA1227,--,--,hypothetical protein,--,18,10,26,17,1,12,47,64,13,5,23,4,7,15,48,19,2,20,8,15,25,46,1,29
PA1228,--,--,hypothetical protein,--,45,17,10,2,4,1,155,17,15,2,7,0,0,6,18,5,4,4,2,0,9,2,1,104
PA1229,--,yeaM,probable transcriptional regulator,--,69,40,48,48,13,13,330,78,9,4,77,32,30,20,51,18,20,15,7,21,48,24,32,132
PA1230,--,--,hypothetical protein,--,2,2,0,4,1,0,17,8,1,0,2,0,4,13,12,3,5,0,3,11,2,11,8,0
PA1231,--,--,conserved hypothetical protein,--,1,3,0,0,0,0,18,20,3,0,0,0,0,15,6,0,0,0,0,0,0,0,6,6
PA1232,--,--,hypothetical protein,--,5,7,6,3,4,4,31,28,3,2,1,16,2,4,17,2,1,2,3,15,14,0,7,6
PA1233,--,--,hypothetical protein,--,1,0,2,7,0,0,3,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
PA1234,--,--,hypothetical protein,--,61,10,39,21,6,9,167,32,15,3,10,0,0,21,11,4,2,16,0,1,9,9,3,43
PA1235,--,--,probable transcriptional regulator,--,7,22,5,1,10,4,36,32,8,0,0,24,18,12,21,2,19,9,6,3,17,0,0,8
PA1236,--,--,probable major facilitator superfamily (MFS) transporter,probable MFS transporter,6,3,3,0,0,1,7,20,1,0,0,51,2,4,16,2,12,5,0,6,1,0,1,8
PA1237,--,--,probable multidrug resistance efflux pump,--,4,0,2,0,2,2,22,9,1,2,2,0,0,10,0,4,5,3,2,2,3,0,1,5
PA1238,--,opmJ,probable outer membrane component of multidrug efflux pump,--,5,0,2,0,0,1,29,15,2,0,0,0,3,3,0,0,8,0,1,1,3,0,0,0
PA1239,--,--,hypothetical protein,--,1,0,5,3,0,4,101,13,0,4,7,0,0,0,0,0,2,0,2,0,3,0,0,14
PA1240,--,--,probable enoyl-CoA hydratase/isomerase,--,17,0,13,9,0,4,112,26,0,4,12,0,0,0,0,0,9,0,0,0,5,0,0,17
PA1241,--,--,probable transcriptional regulator,--,46,3,63,12,0,10,284,88,0,10,31,0,0,0,0,0,16,0,10,0,52,1,1,97
PA1242,sprP,--,SprP,SprP,67,48,80,22,28,3,479,117,63,6,28,45,17,49,29,4,22,32,6,2,34,47,14,75
PA1243,--,--,probable sensor/response regulator hybrid,--,34,33,59,15,35,1,146,184,97,14,17,31,20,152,40,15,11,96,17,40,55,57,21,96
PA1244,qslA,--,QslA,QslA ; LasR-specific antiactivator QslA,3,1,9,5,7,2,24,19,0,0,7,0,9,30,30,2,1,2,10,1,6,11,7,5
PA1245,aprX,--,AprX,--,216,1373,404,39,103,21,1114,247,36,36,61,33,85,34,284,17,52,259,21,38,55,168,31,331
PA1246,aprD,--,alkaline protease secretion protein AprD,--,49,37,120,27,28,1,452,106,9,13,13,0,13,2,104,12,21,230,8,21,16,13,7,59
PA1247,aprE,--,alkaline protease secretion protein AprE,--,31,16,109,7,5,4,1529,94,13,2,1,0,18,4,77,36,21,109,4,14,11,134,10,35
PA1248,aprF,--,Alkaline protease secretion outer membrane protein AprF precursor,--,34,33,99,23,24,2,256,126,35,9,34,0,11,33,58,3,9,119,9,19,28,160,14,84
PA1249,aprA,--,alkaline metalloproteinase precursor,--,28,33,201,14,52,19,695,165,38,4,53,0,20,37,68,9,26,148,16,19,32,68,10,136
PA1250,aprI,--,alkaline proteinase inhibitor AprI,--,21,12,98,5,7,3,127,77,41,9,47,13,30,43,19,2,5,53,1,2,17,37,21,34
PA1251,--,--,probable chemotaxis transducer,probable (methyl-accepting chemotaxis) protein,0,0,1,0,6,0,17,17,0,0,5,7,2,11,9,0,2,3,0,3,5,0,3,2
PA1252,dpkA,--,DpkA,DpkA ; probable L-malate dehydrogenase,31,20,27,6,4,9,97,45,24,0,13,25,7,12,22,1,12,13,4,5,11,20,5,28
PA1253,lhpG,--,alpha-ketoglutaric semialdehyde dehydrogenase LhpG,"alpha-ketoglutaric semialdehyde dehydrogenase, LhpG ; probable semialdehyde dehydrogenase",3,2,2,0,0,0,3,7,2,1,0,1,4,11,2,0,0,2,1,0,1,0,0,0
